dim,term1,term2
status,dignitary,commoner
status,venerable,unpretentious
status,exalted,ordinary
status,estimable,lowly
status,prominent,common
status,renowned,prosaic
moraliry,good,evil
moraliry,moral,immoral
moraliry,good,bad
moraliry,honest,dishonest
moraliry,virtuous,sinful
moraliry,virtue,vice
moraliry,righteous,wicked
moraliry,chaste,transgressive
moraliry,principled,unprincipled
moraliry,noble,nefarious
moraliry,questionable,questionable
moraliry,altruistic,selfish
moraliry,uncorrupt,corrupt
moraliry,scrupulous,unscrupulous
moraliry,chivalrous,knavish
moraliry,honest,crooked
moraliry,commendable,reprehensible
moraliry,pure,impure
moraliry,dignified,undignified
moraliry,valiant,fiendish
moraliry,upstanding,villainous
moraliry,holy,unholy
moraliry,guiltless,guilty
moraliry,decent,indecent
moraliry,chaste,unsavory
moraliry,righteous,odious
moraliry,ethical,unethical
